word	meaning	sent_lc	sent_en
douz (n.)	Twelve	No ashté dézèf douz par fwa.	We buy eggs dozen 12 at a time.
drèt-la (prep.)	Right here, right then	To té gen pou rèsté kanpé drèt-la.	You had to stay standing right there.
drì (adj.)	Thick (with), heavy	Inavé ìn kantité zariko vær a boud-ran. Çé té drì avèk zariko mé a milyé inavé pa.	There were a lot of greeneans at the end of the row (of crops). It was thick with them but in the middle there weren't any.
dròl (adj.)	Funny, wierd	Yé pa abichud tendé mou parlé kreyol. Yé trouv ça dròl ça nouzòt apé di.	They're not used to hearing people speak creole. They find it funny what we're saying.
drwa (adj., n.)	1. Right (direction)<br>2. Right (correct, straight)<br>3. Right (fair, honest)	1. Plu lwin, ekòr plu lwin, pasé a drwa, pasé a gosh.<br>2. Li té tombé parté, mé mo mèt li drwa.<br>3. Li toujou di mô la verité. Li drwa avèk mwa.	1. Further still, still a little further, go to the right, go to the left.<br>2. It had fallen over, but I put it right.<br>3. He has always told me the truth. He's honest with me.
dìr (adj.)	Hard, difficult 	Mo bezwen travayé dìr pou fini louvraj-la.	I have to work hard to finish this job.
dìrsi (v.)	To harden	Vyan-la tro vyœ, Li dìrsi.	The meat is too old. It hardened.
dwa (1. v., 2. n.)	1. must (have), should (have), ought to (have)<br>2. Finger	1. Li dwa kouri endan vilaj.<br>2. Mo gen kat dwa é ìn pous.&nbsp;	1. He must have gone into town.<br>2. I have four fingers and a thumb.
d(e) (prep.)	from, of	Kishoj té tonbé par-tær de latab.	Something fell on the ground from the table.
dê (indef.)	some	Mo mær té fé nouzòt dê shimij avèk dê sak farin.	My mother made us some shirts with some flour sacks.
djaz (n., adj.)	jazz		
djèp (n.)	wasp	Djèp-la piké mô ti boug. Li krié.	The wasp stung my little boy. He cried.
djòb (n.)	job	Mo gen ìn bon djòb. Mo té angajé yèr.	I have a good job. I was hired yesterday.
djòg (n.)	jug	Moun-yé té bwa yé gro djòg wiski, la bwason é fé gombo.	The people were drinking their big jugs of whiskey, drinking and making gumbo.
(la)djœl (n.)	mouth	Mo bimèn sô ladjœl byin.	I hit his mouth good.
enbarasé (v., adj.)	to be embarass	Mo té enbarasé parské mo té pa abiyé byin pou dine a rèstoran.	I was embarrased because I wasn't dressed nice to eat at the restaurant.
enbrasé, enbras (v.)	to hug (embrace)	Mô sèr linm enbrasé famiy kan li vini vizité.	My sister likes to hug the family when she visits.
en (prep.)	1. on, in (location, position in space or time)<br>2. to, into, at, towards (direction)<br>3. made of (material)<br>4. from, with, off of (source)<br>5. by, in (means, manner)<br>6. into (division)	1. Yé té mèt li en TV ìn fwa.<br>2. Li hélé en mwa.<br>3. Ìn mézon en bwa.<br>4. N'apé fé jìjì en zoranj-yé.<br>5. Çé en ça mo appren bwa.<br>6. Li té kasé le serpan en dé.	1. They put him on TV once.<br>2. He shouted at me.<br>3. A wooden house.<br>4. We're making juice from the oranges.<br>5. It's with that I learned to drink.<br>6. He cut the snake in two.
enba (adv., prep.)	1. down<br>2. under, below	1. Ìna kishoz k'ap koulé enba en glasyé-la.<br>2. Ìn kalson çé ça tô mèt enba tô lìnj.	1. There is something leaking down in the refridgerator.<br>2. Underwear is what you put on under your clothes.
endan (prep.)	inside	To ka pìntìré tô volish. Konm ça, kan lapli tonmb, li rentré pa endan.	You can paint your siding. Like that, when it rains, it won't come inside.
endéyòr (prep.)	outside, outside of	Sô laké shmiz t'apé sòrti endéyor de sô kilòt.	His shirt tail was coming out of his pants.
enfamiy (adj.)	pregnant		
enho (prep., adv.)	1. on top of, on<br>2. on<br>3. about (with verbs of speaking, thinking)<br>4 . on, on top<br>5. upstairs<br>6. in addition	1. Li oté sô latet é li mèt li enho sô jnou.<br>2. Mo ìn pe strict enho yé.<br>3. Si t'apé parlé mal anho kèkenn é li konné kreyol. <br>4. Lavyann fé lekum vini anho kan lasoup bouyi.<br>5. Yé yé koush enho.<br>6. Vou gen tô larjon, la vou achté tô kicho anho yé.	1. He took off his head and put it on his knee.<br>2. I'm a little strict on them.<br>3. lf you're talking bad about someone and they understand Creole.<br>4. The meat makes foam come to the top when the soup boils.<br>5. Them they sleep upstairs.<br>6. You have so much money, and you go and buy so many things in addition (to what you already bought).
ankòr (adj., adv.)	1. again<br>2. still	1. Li parti galopé ankor.<br>2. To gìn tô lamont ankor?	1. She ran off again.<br>2. Do you still have your watch?
enlær (adv., adj.)	1. up<br>2. on, on top of	1. Kòfer to marsh bosi konm ça avek zepol-yé enlær?2. To gìn pou met bibron enlær boutey-la pou li kapab teté sô boutey.	1. Why do you walk hunchbacked like that with your shoulders up?<br>2. You have to put the nipple on the bottle so that the baby can suck it.
enmærdé, enmærd (v., adj.)	1. to bother, to disturb, to trouble<br>2. to anger, to irritate, to annoy	1. Mo té mové ka li vini enmærdé mò.<br>2. Piti-la ap kriyé tou-l-tem. L'apé enmærdé mwa.	1. I was mean when he came to bother me.<br>2. The child is always shouting. He's irritating me.
ennaryær (prep.)	in back, behind	Mo té gìn ìn ta de flèr dan mô kour ennaryær.	I had a lot of flowers in my back yard.
ennavan (prep.)	in front of	Inavé ìn lak plì ennavan, inavé Lak Sol.	There was a lake more in front, it was Lake au Sol.
ennwiyé (adj.)	1. to be bored<br>2. to be lonesome	1. Mo vini ennwiyé. Mo pa gìn ariyin pou fé.<br>2. Mo ennwiyé ka mo tou sèl é mo&nbsp; pa gìn pèrson pou parlé avèk.	1. I got bored. I don't have anything to do.<br>2. I get lonesome when I'm all alone and I have no one to talk to.
ensenm (adj.)	together	Mo parl kréyol plì ké mo parl langlé. Ça fé mo mélé li ensenm.	I speak creole more than I speak english. So I mix them together.
Envil (n.)	New Orleans		
famiy (n.)	family	Famiy-çala viv dan la vil vent an avan li déménajé isi.	That family lived in New Orleans for 20 years before they moved here.
faroush (adj.)	wild, untamed	Çé ìn kanar faroush. Li pa ìn kanar ki dou konm nou elev dan lakou.	It's a wild duck. It's not a tame duck like we raise in the farmyard.
fær-a-shval (n.)	horseshoe		
færmé, færm (v.)	to close, to shut	Kan laplì tonmb mo færm mô shasi.	When it rains I close my windows.
fenm (n.)	1. woman<br>2. wife (madanm is more common for wife)<br>3. mistress	1. Sô moman çé té ìn vayan fenm.<br>2. Inavé pa asé fenm blan pou yé trouvé chak ìn fenm.<br>3. Byin, komen çé tô fenm mé çé té pa madanm? To pa mariyé? To vé pa ça?	1. Her mother was a beautiful woman.<br>2. There were not enough white women for them to each find a wife.<br>3. Well, how is it that she's your mistress but not your wife? You're not married? You don't want that?
fé (v.)	1. to do<br>2. to make<br>3. to be (weather)<br>4. to reach, arrive at (a place)<br>5. to cause, make, have (someone or something do something)<br>6. to make, cause to be (a certain way)<br>7. to turn (a certain age)<br>8. to thrive, grow well<br>9. to happen	1. Mo t'abichud fìmé mé mo fé pa ça.<br>2. Mo koné fé in pe instant coffee dan maten, mo bwa ça.<br>3. In bon ver dolo fré, çé bon kan yé fé sho.<br>4. Mé&nbsp;zafè-çala janmé fé li Shmèn Nèf.<br>5. Çé konm in piti, to fé li fé kishoj, L'a fé li mé li pe pa fé li byin, paskè to fé li fé li.<br>6. Fé li konten li di, "wé, byin all right".<br>7. To diz an plu vyè pasé mwa. M'a fé sixty five mwa ki vyin.<br>8. Fé li fé. Dòn li fimyé.<br>9. Nouzot nou fé pa li mizèr le nwar isi.	1. I used to smoke but I don't do that (anymore).<br>2. I make a little instant coffee in the morning and I drink that.<br>3. A cold glass of water is good when it is hot.<br>4. But that thing would never make it to New Roads.<br>5. It's like a child, when you make him do something. He'll do it, but he won't do it well, because you made him do it.<br>6. To make her happy he said, "Well, all right".<br>7. You're ten years lder than me. I'll be sixty-five next month.<br>8. Make it thrive. Give it fertilizer.<br>9. We don't make any trouble for black people here.
fé (sô) dévwa (v.)	to do one's homework		
fé (sô) lapriyè (v.)	to say prayers, to pray	Çé ìn treté. Si to koupé tô janm o tô bra é disan é sengen, to pa ka reté li, jish parlé en li fé ìn lapriyé. Té rété li.	He is a folk healer. if you cut your leg or your arm and it is bleeding, he just speaks over it and says a prayer. That stops it.
fé (sô) menaj (v.)	to do one's house work		
fé atensyon (v.)	to pay attention, to be watch out, to be careful	Fé atesyon to pa tonmbé la, parské çé ho.	Be careful not to fall there, because it's high.
fé fars (v.)	to joke, to kid	Byìn lalev çé myœ parol, la lalev. Mo popa té konné di babin, mé, li té jish é fé fòn, fé fas.	Well, (lev) is a better word (for lip). My father used to use the word (babin), but when he did he was only joking.
fé grosri (v.)	to go grocery shopping	Li pran tro bokou d tan ka li va fé grosri.	She takes too much time when she goes shopping.
fé kado (v.)	to give as a gift		
fé kòmærs (v.)	1. to make trouble<br>2. to gossip<br>3. to make a mess	1.<br>2.<br>3. Piti-çilê fé ìn ta kòmèrs kan yé ranjé manjé.	1.<br>2.<br>3. These kids make a big mess when they fix food.
fé lakònésans (avèk) (v.)	to meet (someone for the first time), make the acquaintance of	Mo fé lakonésans é la personn-la. Li parl byin. Li vayan.	I met the person. She speaks well. She's nice.
fé lakour (v.)	to court, to date	Marceaux t'apé fé lakour le fiy-la.	Marceaux was courting the women there.
fé lougarou (v.)	to stay out late carousing, gallivanting or wandering around	Mo té pa kapab dormi yer-o-swa. Mo fé lougarou tou lanwit.	I couldn;t sleep last night. I wandered about all last night.
fé mal (v.)	to hurt, cause pain, harm	Yé pa fé mal, non.	They didn't do any harm.
fé rékòlt (v.)	to farm	Mo té fé rékolt prosh tou mô lavi.	I have worked a farm almost all my life.
fé særmen (v.)	to swear, to take an oath	Li fé semon ké li pa prenn tô wallet.	He swears that he didn't take your wallet.
fé sin lakrwa (v.)	to make the sign of the cross	Yé fé yê sin lakrwa.	They make their sign of the cross.
fé sosyété (v.)	to throw a party, entertain guest	Mo té konné fé plìn sosyété...Blan konm nwa té vyen asi an mô latab manjé gombo.	I used to throw parties regularly...Whites and blacks alike would come sit at my table and eat gombo.
fé sô nidé (v.)	to make up one's mind, to decide	Mo pa konné ki rob pou ashté. Mo pa kapab fé mô lidé.	I don't know which dress to buy. I can't make up my mind.
fé tren (v.)	1. to make noise<br>2. to fuss, to complain	1. Zirandel çé de ti zwazo nwa ki vyen dan lashimnen, yé fé tren tou lanwi.<br>2.&nbsp;	1. Purple martins are little black birds that get into the chiney and make noise all night.<br>2.
fé zan (v.)	to turn (an age)		
fé zyé dou (apré) (v.)	to wink (at), to make eyes (at)	Li éntéresé dan mwa. L'apé fé zyé dou apré mwa.	He's interestedin me. He's winking at me.
févi (n.)	okra	To koup tô févi. To met ça dan shodyer é dé lagres.	To cut your okra. You put it in a pot with grease.
féy (n.)	leaf	Narb li ki li fé ça resté ver tou liver. Tou lézot tornen jen é maron. Yê féy tonmbé.	The tree that did that for him stayed green all winter. All the others turned yellow and brown. Their leaves fell.
fèb (adj.)	weak	Ina dan moun-yé, yé fé kafé fo fo fo, lot moun fé kafé feb.	There are some people who make really strong coffee and others who make weak coffee.
(la)fèt (n.)	birthday, party, holiday	Sô fèt çé dan aout.	His birthday is in August.
fèvriyé (n.)	February		
fid (n.)	animal feed	Yé fé mil pou fid zanimo.	They make meal for animal feed.
(la)figur (n.)	face	Mo pa koné ki moun li té, li té gen ìn mask en sô figur.	I didnt know who she was, she had a mask on her face.
fis (n.)	son	Nòm pou Pær é pou Fis é pou Sìnt Èspri ìnsiswatil.	In the name of the father, the son and the holy spirit.
(dì)fil (n.)	string, wire, thread	Mo fé tou mô lìnj avèk dìfil koton.&nbsp; Çé dìfil ki pli fòr ké dìfil laswa.	I make all my clothes with cotton thread. It's thread that's stronger thank silk thread.
fil-a-kroshé (n.)	barbed wire	Mô shimij kroshé en wire, fil-a-kroshé.	My shirt got caught on the barbed wire.
filé (n.)	filé powder	Ça çé bwa-la ki fé filé-la, sasafrwa-la. To kas labransh-la é oté lê fey-yé apré to lès ça shesé o soléy.	That is the tree that you make filé powder from, sassafras. You break the branch and remove the leaves and then you let them dry in the sun.
fìm (adj.)	hungry	Mo fìm.&nbsp; No va a lamézon pou manjé.	I'm hungry. We're going home to eat.
fìmé, fìmm (v.)	to smoke (tobacco or meat)	Ìn swa, mô frèr é mo t'ap fìmé, lapip a tombé par-tèr.	One evening, my brother and I were smoking, the pipe fell to the ground.
fìn (n.)	end	A la fìn lané, no gìn lafèt Nwèl.	At the end of the year we have Christmas.
(la)finèt (n.)	window	Li gardé parmi lafinèt.	He looked through the window.
fini (v.)	to end, to finish, to complete	Mo bezwen travayé dìr pou fini louvraj-la.	I have to work hard to finish this job.
fin-lasmèn (n.)	weekend	Petèt t'a kouri en la fìn-lasmèn ou petèt m'a kouri lamoshé la smèn-la.	Maybe you'll go on the weekend or maybe i'll go in the middle of the week.
fiy (n.)	1. daughter<br>2. girl	1. Yé mandé momon é popa-la permisyon pou mariyé yê fiy.<br>2. Çé ìn fiy ki baset. Li pa gran.&nbsp;	1. They asked the mom and dad permission to marry their daughter.<br>2. She's a short girl. She's not tall.
fiyèl (n.)	goddaughter		
fiyo (n.)	godson	Mo batizé mô fiyo tèl-é-tèl tem.	I baptized my godson at such and such time.
flèri (v.)	to bloom, to flower	Ça to pèl lê flèr-yé, lê flèr jonn-yé, y'apé komensé flèri astèr?	What do you call the flowers, the yellow flowers that are starting to bloom right now?
flœr (n.)	flower	Pyé patat-yé té gran é plen avek dé flè.	The potatoe plants were big and full with flowers.
fo (adj.)	false, fake	Li gìn den fo dan sô laboush.	He has false teeth in his mouth.
fon (1. adj., 2. n., 3. n., 4. v.)	1. deep<br>2. end, bottom<br>3. fun, amusement<br>4. to melt	1. Li piké trou-la pa asé fon.<br>2. Kouri dan fon laba deryé la.<br>3. Byen, lalèv çé méyèr parol, la lalèv. Mô popa té koné di babin men, li té jìsh apé fé fonn, fé fas.<br>4. Lakrem ap fon.	1. He didn't dig the hole deep enough.<br>2. We went all the way to the end back there.<br>3. Well, "lip" is a better word. My dad used to say "babin", but he was just joking.<br>4. The ice cream is melting.
fonsé (adj.)	dark (color)	vær fonsé	dark green
foré (n.)	forest	No té alé dan foré pou ramasé dé snèl.	We used to go into the forrest to pick parsley hall.
