word	meaning	sent_lc	sent_en
tendé, tenn (v.)	1. to hear<br>2. to listen	1. Li pa tandé byin.<br>2. Nou tann radio tou le matin.	1. He doesn't hear well.<br>2. We listen to the radio every morning.
té (pvm.)	was (past tense pre-verbal marker)		
Tèksas (n.)	Texas		
tèl (adj.)	such, such a	Mé é di twa tèl kishoj anho la mé ça min tèl é tèl kishoj.	I'll tell you such a thing about that, but that means such and such a thing.
tèl-é-tèl (n.)	1. such and such, so and so<br>2. so and so, such and such (a thing)	1. To gin tèl tèl laj, to té né té tèl mwa, tèl tèl date dan mwa-la.<br>2. Tèl é tèl ki é gòn in latèrman pou, li sòrti chwé lasmèn pasé.	1. You are so many years old, you were born in such and such month, on such and such date in that month.<br>2. So and so went to a funeral for someone who was killed the week before.
(la)tèt (n.)	head	Mô shvœ apé tonbé déyor mô latèt é mo pa koné ça pou fé.	My hair is falling out of my head and I don't know what to do.
ti (n.)	small, little	M'ap alé batizé mô ti bébé dimansh.	I'm going to baptize my little baby Sunday.
in ti brin (adv. phr.)	a little bit (of)	Li in ti brin pli vyè ke mwa.	He is a little bit older than me.
ti-betay (n.)	insect, bug	Gro zaryin dan bwa, li fé in gro fil zaryin ron. Li trap ti-betay endan pou li manjé.	A big spider in the woods, he makes a big, round spiderweb. He catches bugs in it for him to eat.
ti-fiy (n. phr.)	1. granddaughter<br>2. baby girl	1. Mo gin in ti-fiy.<br>2. Çé in ti fiy!	1. I have a granddaughter.<br>2. It's a girl!
tig (n.)	tiger	In tig gin de tash. Li takté.	A tiger has spots. He's spotted.
ti-garçon (n.)	grandson		
tikèt (n.)	1. ticket<br>2. traffic ticket	1. Mo gin lashans. Yé dòn mwa in tikèt pou alé wa laplòt.<br>2. Polis-la linm èkri in tikèt.	1. I got lucky. They gave me a ticket to go to the ballgame.<br>2. The policeman likes to write a ticket.
tiyon (n.)	headscarf, madras hankerchief twisted into a turban, tignon	Kan ça fé frèt, mo maré mô tiyon desi mô latèt.	When it's cold out, I tie my scarf on my head.
(la)tizann (n.)	herbal tea	Li fé ìn latizann.	He made an herbal tea.
ti-zenfan (n.)	grandchild	Gar, ça mô ti-zanfan ashté.	Look at what my grandchild bought me.
to (pron.)	you		
tomat (n.)	tomato	Tomat-yé é vini mir endan lafinèt-la.	The tomatoes are getting ripe in front of the window.
tombé, tomb (v.)	1. to fall<br>2. to become	1. Yé chinbo mwa pou pèshé mwa tombé.<br>2. To bezwin manjé kèkshoj oubyin to va tombé malad.	1. They held me to prevent me from falling.<br>2. You have to eat something or else you'll get sick.
tònær (n.)	thunder	Panm bèni; mèt ça dan lamézòn. É kan çé mové tem, prit é in ti mòrso panm pou pèshé tònèr é zèklèr, yé té di.	A blessed palm branch, you put that in your house, and when the weather is bad you pray with the piece of palm to prevent thunder and lightning, they used to say.
tòrné, tòrn (v.)	1. to turn<br>2. to change, turn into, switch to<br>3. to turn, become<br>4. to stir<br>5. to prevent, stop, keep (from)<br>6. to turn over<br>7. to turn<br>8. to spin, turn around<br>9. to turn, twist<br>10. to spoil<br>11. to turn around	1. Li tourné lamonsh-la en moulen kafé-la.<br>2. Ènn fwa in avèk in vyè nèg ki té kòné tourné li-mènm en fifolé.<br>3. Narb-la ke fé ça rèsté vèr tou livèr. Tou le zòt yé tourné jòn é yé fey tonbé.<br>4. Li pa tourné li?<br>5. Nou vyè hobo té shagrin. Li té vini pou reglé det-çala, mé li té tro tar pou tourné ça kouri en lwa.<br>6. Mo tourné dezef-la endan shodèr-la.<br>7. Si vou tourné a drwat, vou a vini bèk kòté Glin.<br>8. Ça tourn, é la ça shèsh.<br>9. Kan li tourné, li té kònm li té kan nou kouri avèk li lopital. Sô laboush t'apé tourné kòté, tou pa ka kòmpran ça li di.<br>10. L'a tourné.<br>11. Mo bloké mô shmenn pa pou oto-yé tourné.	1. She turned the handle of the coffee grinder.<br>2. Once there was an old black man who could turn himself into a will-o-the-wisp.<br>3. The tree that did that stayed green all winter. All the others turned yellow and their leaves fell.<br>4. She hasn't stirred it?<br>5. The old hobo was distraught. He had come to settle that debt, but he was too late to prevent it from going to court.<br>6. I turned the egg over in the frying pan.<br>7. If you turn right you'll be heading back towards Glynn.<br>8. That spins and that there dries it.<br>9. When he came back he was in the same state that he was in when we took him to the hospital. His mouth was twisted to the side, you couldn't understand what he was saying.<br>10. It will spoil.<br>11. i blocked my driveway so cars couldn't turn around.
tou (adj., pron. quant., adv.)	1. all<br>2. every, each<br>3. all (of them) everything<br>4. all, completely, very	1. Tou tô famiy toujou gin kont mwa é mèm tô shyin.<br>2. Tou laitasyon té gin in magazin.<br>3. Mô moman, popa, tou té rèsté la isi, çé ça ki fé mo isi.<br>4. To wa môzòrtey koman çé té tou blon, tou mouri.	1. Your whole family always had something against me, even your dog.<br>2. Each plantation had it's own store.<br>3. My mother, father, all of them lived here, that is why I am here.<br>4. You see my toes, how they were all white, all dead.
tou alentour (prep.)	all around		
toujou (adj., adv.)	1. always<br>2. still	1. Mo toujou aklé lapòrt avan mo gonn koushé.<br>2. Li toujou ap rèsté isi.	1. I always lock the door before I go to bed.<br>2. He still lives here.
tou-kèkunn (n.)	everyone, everybody		
tou kishòj (n.)	all, everything	Dan tem-çala, tou kishoj té bon marshé.	In those days everything was inexpensive.
